ndar id,ndar name,ndar missing value,mapping,ndar range,coins id,default value,coins name,coins missing value,function,args,coins range
,,,,,196,9999,pilot-apev_031t-1,,,,-1::1
,,,,,197,,hgrd1_tv1-apev_031t-1,,,,-1::1
,,,,,198,,twinv-apra_031t-1,,,,0;1
,,,,,199,,pilot-apra_031t-1,,,,0;1
,,,,,200,,hgrd1_tv1-apra_031t-1,,,,0;1
,,,,,201,,twinv-apev_032t-1,,,,-1::1
,,,,,202,,pilot-apev_032t-1,,,,-1::1
,,,,,203,,hgrd1_tv1-apev_032t-1,,,,-1::1
,,,,,204,,twinv-apra_032t-1,,,,0;1
,,,,,205,,pilot-apra_032t-1,,,,0;1
,,,,,206,,hgrd1_tv1-apra_032t-1,,,,0;1
,,,,,207,,twinv-apev_033t-1,,,,-1::1
,,,,,208,,pilot-apev_033t-1,,,,-1::1
,,,,,209,,hgrd1_tv1-apev_033t-1,,,,-1::1
,,,,,210,,twinv-apra_033t-1,,,,0;1
,,,,,211,,pilot-apra_033t-1,,,,0;1
,,,,,212,,hgrd1_tv1-apra_033t-1,,,,0;1
,,,,,213,,twinv-apev_034t-1,,,,-1::1
,,,,,214,,pilot-apev_034t-1,,,,-1::1
,,,,,215,,hgrd1_tv1-apev_034t-1,,,,-1::1
,,,,,216,,twinv-apra_034t-1,,,,0;1
,,,,,217,,pilot-apra_034t-1,,,,0;1
,,,,,218,,hgrd1_tv1-apra_034t-1,,,,0;1
,,,,,219,,twinv-apev_035t-1,,,,-1::1
,,,,,220,,pilot-apev_035t-1,,,,-1::1
,,,,,221,,hgrd1_tv1-apev_035t-1,,,,-1::1
,,,,,222,,twinv-apra_035t-1,,,,0;1
,,,,,223,,pilot-apra_035t-1,,,,0;1
,,,,,224,,hgrd1_tv1-apra_035t-1,,,,0;1
,,,,,225,,twinv-apev_036t-1,,,,-1::1
,,,,,226,,pilot-apev_036t-1,,,,-1::1
,,,,,227,,hgrd1_tv1-apev_036t-1,,,,-1::1
,,,,,228,,twinv-apra_036t-1,,,,0;1
,,,,,229,,pilot-apra_036t-1,,,,0;1
,,,,,230,,hgrd1_tv1-apra_036t-1,,,,0;1
,,,,,231,,twinv-apev_037t-1,,,,-1::1
,,,,,232,,pilot-apev_037t-1,,,,-1::1
,,,,,233,,hgrd1_tv1-apev_037t-1,,,,-1::1
,,,,,234,,twinv-apra_037t-1,,,,0;1
,,,,,235,,pilot-apra_037t-1,,,,0;1
,,,,,236,,hgrd1_tv1-apra_037t-1,,,,0;1
,,,,,237,,twinv-apev_038t-1,,,,-1::1
,,,,,238,,pilot-apev_038t-1,,,,-1::1
,,,,,239,,hgrd1_tv1-apev_038t-1,,,,-1::1
,,,,,240,,twinv-apra_038t-1,,,,0;1
,,,,,241,,pilot-apra_038t-1,,,,0;1
,,,,,242,,hgrd1_tv1-apra_038t-1,,,,0;1
,,,,,243,,twinv-apev_039t-1,,,,-1::1
,,,,,244,,pilot-apev_039t-1,,,,-1::1
,,,,,245,,hgrd1_tv1-apev_039t-1,,,,-1::1
,,,,,246,,twinv-apra_039t-1,,,,0;1
,,,,,247,,pilot-apra_039t-1,,,,0;1
,,,,,248,,hgrd1_tv1-apra_039t-1,,,,0;1
,,,,,249,,twinv-apev_040t-1,,,,-1::1
,,,,,250,,pilot-apev_040t-1,,,,-1::1
,,,,,251,,hgrd1_tv1-apev_040t-1,,,,-1::1
,,,,,252,,twinv-apra_040t-1,,,,0;1
,,,,,253,,pilot-apra_040t-1,,,,0;1
,,,,,254,,hgrd1_tv1-apra_040t-1,,,,0;1
,,,,,255,,twinv-apev_041t-1,,,,-1::1
,,,,,256,,pilot-apev_041t-1,,,,-1::1
,,,,,257,,hgrd1_tv1-apev_041t-1,,,,-1::1
,,,,,258,,twinv-apra_041t-1,,,,0;1
,,,,,259,,pilot-apra_041t-1,,,,0;1
,,,,,260,,hgrd1_tv1-apra_041t-1,,,,0;1
,,,,,261,,twinv-apev_042t-1,,,,-1::1
,,,,,262,,pilot-apev_042t-1,,,,-1::1
,,,,,263,,hgrd1_tv1-apev_042t-1,,,,-1::1
,,,,,264,,twinv-apra_042t-1,,,,0;1
,,,,,265,,pilot-apra_042t-1,,,,0;1
,,,,,266,,hgrd1_tv1-apra_042t-1,,,,0;1
,,,,,267,,twinv-apev_043t-1,,,,-1::1
,,,,,268,,pilot-apev_043t-1,,,,-1::1
,,,,,269,,hgrd1_tv1-apev_043t-1,,,,-1::1
,,,,,270,,twinv-apra_043t-1,,,,0;1
,,,,,271,,pilot-apra_043t-1,,,,0;1
,,,,,272,,hgrd1_tv1-apra_043t-1,,,,0;1
,,,,,273,,twinv-apev_044t-1,,,,-1::1
,,,,,274,,pilot-apev_044t-1,,,,-1::1
,,,,,275,,hgrd1_tv1-apev_044t-1,,,,-1::1
,,,,,276,,twinv-apra_044t-1,,,,0;1
,,,,,277,,pilot-apra_044t-1,,,,0;1
,,,,,278,,hgrd1_tv1-apra_044t-1,,,,0;1
,,,,,279,,twinv-apev_045t-1,,,,-1::1
,,,,,280,,pilot-apev_045t-1,,,,-1::1
,,,,,281,,hgrd1_tv1-apev_045t-1,,,,-1::1
,,,,,282,,twinv-apra_045t-1,,,,0;1
,,,,,283,,pilot-apra_045t-1,,,,0;1
,,,,,284,,hgrd1_tv1-apra_045t-1,,,,0;1
,,,,,285,,twinv-apev_046t-1,,,,-1::1
,,,,,286,,pilot-apev_046t-1,,,,-1::1
,,,,,287,,hgrd1_tv1-apev_046t-1,,,,-1::1
,,,,,288,,twinv-apra_046t-1,,,,0;1
,,,,,289,,pilot-apra_046t-1,,,,0;1
,,,,,290,,hgrd1_tv1-apra_046t-1,,,,0;1
,,,,,291,,twinv-apev_047t-1,,,,-1::1
,,,,,292,,pilot-apev_047t-1,,,,-1::1
,,,,,293,,hgrd1_tv1-apev_047t-1,,,,-1::1
,,,,,294,,twinv-apra_047t-1,,,,0;1
,,,,,295,,pilot-apra_047t-1,,,,0;1
,,,,,296,,hgrd1_tv1-apra_047t-1,,,,0;1
,,,,,297,,twinv-apev_048t-1,,,,-1::1
,,,,,298,,pilot-apev_048t-1,,,,-1::1
,,,,,299,,hgrd1_tv1-apev_048t-1,,,,-1::1
,,,,,300,,twinv-apra_048t-1,,,,0;1
,,,,,301,,pilot-apra_048t-1,,,,0;1
,,,,,302,,hgrd1_tv1-apra_048t-1,,,,0;1
,,,,,303,,twinv-apev_049t-1,,,,-1::1
,,,,,304,,pilot-apev_049t-1,,,,-1::1
,,,,,305,,hgrd1_tv1-apev_049t-1,,,,-1::1
,,,,,306,,twinv-apra_049t-1,,,,0;1
,,,,,307,,pilot-apra_049t-1,,,,0;1
,,,,,308,,hgrd1_tv1-apra_049t-1,,,,0;1
,,,,,309,,twinv-apev_050t-1,,,,-1::1
,,,,,310,,pilot-apev_050t-1,,,,-1::1
,,,,,311,,hgrd1_tv1-apev_050t-1,,,,-1::1
,,,,,312,,twinv-apra_050t-1,,,,0;1
,,,,,313,,pilot-apra_050t-1,,,,0;1
,,,,,314,,hgrd1_tv1-apra_050t-1,,,,0;1
,,,,,315,,twinv-apev_051t-1,,,,-1::1
,,,,,316,,pilot-apev_051t-1,,,,-1::1
,,,,,317,,hgrd1_tv1-apev_051t-1,,,,-1::1
,,,,,318,,twinv-apra_051t-1,,,,0;1
,,,,,319,,pilot-apra_051t-1,,,,0;1
,,,,,320,,hgrd1_tv1-apra_051t-1,,,,0;1
,,,,,321,,twinv-apev_052t-1,,,,-1::1
,,,,,322,,pilot-apev_052t-1,,,,-1::1
,,,,,323,,hgrd1_tv1-apev_052t-1,,,,-1::1
,,,,,324,,twinv-apra_052t-1,,,,0;1
